LapNumber,LapDistance,CarVelocity,DRS,Corner,CornerSpeed,CornerPhase,Straight,FrontRideHeight,RearRideHeight,CarBalance,TimeToCarAhead,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR
20,1.352145512,0.823730913,Off,-,-,-,Start - T1,9.409318635,11.41279488,2.04E-18,2.313171148,15.62733361,12.99991231,10.78575491,18.62887772
20,2.787313355,0.826290949,Off,-,-,-,Start - T1,7.655835448,10.34372962,7.75E-19,2.313184261,15.62791214,13.03464667,10.84647192,18.68451476
20,4.220615572,0.828378129,Off,-,-,-,Start - T1,6.81399609,9.562540892,-3.50E-19,2.314357042,15.68515441,13.66360736,10.90966521,18.74240451
20,5.666511094,0.830123624,Off,-,-,-,Start - T1,6.660189495,8.100299796,-1.00E-19,2.315439224,15.65610241,13.94880658,11.21273894,19.01981037
20,7.101678848,0.833178156,Off,-,-,-,Start - T1,7.265607099,7.3721611,5.88E-20,NaN,15.62704435,13.95227057,11.39421147,19.18573008
20,8.558302495,0.83451638,Off,-,-,-,Start - T1,7.668686771,8.350008646,1.22E-20,NaN,15.59827941,14.29558225,11.42779366,19.21641911
20,10.00419802,0.836799982,Off,-,-,-,Start - T1,7.934463742,10.36512068,-9.60E-21,2.317691565,15.59827941,14.35276857,11.76209648,19.52166529
20,11.46268631,0.839221857,Off,-,-,-,Start - T1,7.77931287,9.9065162,-1.37E-21,2.319729805,15.59595564,14.35276857,11.88375971,19.63263867
20,12.91930925,0.84256725,Off,-,-,-,Start - T1,8.010488388,9.915792882,1.54E-21,2.322185755,15.3613637,14.35248101,11.9141367,19.66033703
20,14.37779896,0.844836315,Off,-,-,-,Start - T1,7.605846035,9.384571255,1.29E-22,2.326320171,14.90076745,14.32474853,11.9132239,19.65950477
20,15.84701538,0.847396351,Off,-,-,-,Start - T1,6.846798352,8.073712629,-2.42E-22,2.330441952,14.7543154,14.41169597,11.82183125,19.57615919
